recipe_code_main,l1_rar
RB51491-SP-2,-0.28258124571809173
RB51491-SP-3,0.23012261659031386
RB51491-SP-4,0.11111570058724474
RB51600,-0.013400062208638985
RB51885,-0.008441156997601174
RB51885-DP-1,0.036560466950477544
RB52504,-0.003872682018532414
RB52504-SP-1,-0.06428913243308476
RB52873,0.01009527253584519
RB52887,0.008070978767906745
RB52887-SP-1,-0.01620910256219099
RB53367,-0.011496859349230393
RB53597,-0.0032077890421328137
RB53669,0.050888704902745774
RB53725,-0.003601568824921464
RB53736,-0.008652700097962818
RB53831,-0.002818725671689837
RB53831-SP-1,0.0050240227254585434
RB54090,-0.009452803951856437
RB54090-SP-1,0.005477481181039856
RB54438,-0.027245509564388648
RB54438-SP-1,-0.0012277594045531082
RB54603,-0.05547619076251875
RB55262,0.008741987529669704
RB55262-SP-1,0.0016950169442173646
RBP154872,-0.007903067242225115
RBP154873,0.013466185280001541
RBP155095,-0.009230314115922122
RBP155271,-0.009967716714141428
RBP155818,-0.014990596770383946
RBP156195,0.032761362502569336
RBP156195-SP-1,0.0007186846504949607
RBP156195-SP-2,-0.03313122022780057
RBP156195-SP-3,0.07314693541224404
RBP156374,-0.0187026861014693
RBP156405,0.01784533986373593
RBP156405-SP-1,-0.13334312606637222
RBP156405-SP-2,-0.01890777645415609
RBP156406,0.013013909384322897
RBP156407,0.010274451458615497
RBP156681,0.026175354036862775
RBP156681-SP-1,0.041932854726762336
RBP157242,-0.010376016300037483
RBP157242-SP-1,0.02272247448615472
RBP157242-SP-2,-0.16205440045296948
RBP158382,-0.0006520679175441302
RBP158382-SP-1,-0.05337597029647989
RBP158382-SP-2,-0.031040418095830358
RBP158968,-0.0015563964197584657
RBP158968-SP-1,-0.000004609101727504061
RBP158968-SP-2,0.012758477040986316
RBP161639,0.0050875818794402505
RBP161639-SP-1,-0.0014141322228164999
RBP161639-SP-2,-0.010817091803049461
RBP161671,0.0023115502797075305
RBP161671-SP-1,0.056831775555594044
RBP161671-SP-2,0.1396987125999143
RBP31052,0.019854823734807292
RBP41472,-0.009456463617284694
RBP41696,-0.0194517527057132
RBP50436,-0.005250663411997092
RBP50583,-0.045324370033185124
RBS153944,-0.03789602499753597
RBS155397,0.08551385437981707
RBS155568,-0.10977425085614834
RBS155823,0.0447673120636074
RBS157077,0.029562979192135685
RBS159024,-0.014510094508519589
RBS159874,0.06642533693798747
RBS159949,0.020126928004512656
RC0212,0.0005371778322698084
RC0215,-0.03998084208985664
RC0215-SP-1,-0.044836281801798106
RC0215-SP-2,-0.0648606531946343
RC0281,0.013902576829545543
RC0281-SP-1,0.013579971893544984
RC0281-SP-2,-0.06351475335907808
RC0296,0.007844216088461975
RC0340,0.019595265460194966
RC0384,0.023232321219662788
RC0418,0.01175725484011192
RC0535,0.007887714115774047
RC0540,-0.006365082146222556
RC151067,0.050018719889667995
RC151314,0.044200540877468164
RC151623,0.008271387597576396
RC151744,-0.004682576630263058
RC151744-SP-1,0.14083065331475386
RC151782,-0.0035728522851571354
RC151782-SP-1,-0.005302370918368271
RC151800,0.010053114100072369
RC151917,0.027137832666537687
RC151917-SP-1,0.012644498395783632
RC151917-SP-2,-0.018565826864079038
RC151921,-0.00346428048611791
RC151963,0.02279801546224758
RC151963-SP-1,-0.055824493358954674
RC151963-SP-2,0.28354898611004753
RC152191,-0.05288361817957521
RC152191-SP-1,-0.025257662212154974
RC152191-SP-2,-0.11174356797952711
RC152275,0.005640773547634037
RC152289,0.007720421995844884
RC152289-SP-1,-0.2948493970000907
RC152610,-0.021474825403361653
RC152756,0.006372488851382085
RC152781,-0.030964440526385917
RC152954,0.03463021027659274
RC152954-SP-1,-0.04871245854612416
RC153107,0.02305267534952593
RC153107-SP-1,0.05392483829035699
RC153235,0.008744182813388957
RC153286,-0.005318553521566294
RC153286-SP-1,0.028041678999039865
RC153286-SP-2,-0.048539644863708764
RC153354,-0.00030325595986235854
RC153354-SP-1,0.025717188983413353
RC153354-SP-2,-0.13956509647369264
RC153382,0.03139456686980591
RC153485,0.011028260476367624
RC153485-SP-1,-0.001629069915914827
RC153485-SP-2,0.059967303022762763
RC153558,0.011869482751218463
RC153656,0.011944181503233287
RC153856,0.013438335906921894
RC153856-SP-1,-0.005507273258247181
RC153856-SP-2,-0.03687723083823713
RC153857,0.03666106765238708
RC153857-SP-1,0.054578658676204705
RC153857-SP-2,-0.006210561394084602
RC153904,-0.0007093455676273619
RC153904-SP-1,0.03698087076750034
RC153904-SP-2,-0.018622343433656097
RC153967,-0.012251385131492931
RC154010,0.00317954332626158
RC154150,0.006122256064326148
RC154150-SP-1,-0.025638500077890924
RC154150-SP-2,0.005833182977672546
RC154150-SP-3,0.25295415232773344
RC154243,-0.01524489178936661
RC154243-SP-1,0.0022160966860589326
RC154243-SP-2,0.04868975277791132
RC154245,0.0026219164241245707
RC154245-SP-1,-0.007686900650714645
RC154245-SP-2,-0.0566642652888496
RC154268,-0.009396996786522727
RC154268-SP-1,-0.008587203148300415
RC154268-SP-2,0.006800806925487679
RC154268-SP-3,0.10296627863519925
RC154272,0.007983128173515208
RC154272-SP-1,-0.018794747585367366
RC154272-SP-2,0.062300557098336595
RC154277,0.013070595356147185
RC154279,0.0036198706846879425
RC154281,0.03006380937824149
RC154292,0.00010569345317823498
RC154292-SP-1,-0.01586044534543629
RC154292-SP-2,-0.02264244908406743
RC154293,0.003288235197519862
